Amount,Tenor,MVC,ACR,Balloon,Finance,DWT,Age,Experience,Fleet_Size,Leverage,BDI,Spread,Defaulted
61755036,6,64847136,5.57,1,0,124573,22,38,5,0.28,3219,3.97,0
196100010,7,83150359,7.2,0,1,187658,4,6,37,0.89,4008,4.61,1
132521863,9,175048947,4.8,1,0,163087,19,8,38,0.86,4241,0.71,1
160299516,9,102942922,3.59,0,0,65002,20,23,30,0.13,2074,3.85,1
152532820,13,167319111,9.37,1,0,157326,1,26,9,0.66,4498,5.26,0
138224038,6,161786915,8.37,1,1,168216,20,12,34,0.84,2629,1.12,1
40788921,9,111164453,8.52,0,1,175286,17,26,44,0.24,2903,4.98,0
138120466,13,198928103,4.25,1,1,157162,12,13,35,0.55,3829,3.47,1
165953558,5,198673875,2.77,0,1,162709,15,18,22,0.83,1088,3.58,1
98410762,8,88110973,4.62,1,1,173487,1,25,44,0.13,2512,3.56,0
96090292,14,49501026,6.26,1,0,44071,14,33,24,0.66,2047,1.99,1
170850211,4,177381501,4.79,0,0,78243,6,12,17,0.34,794,5.18,1
81737383,12,21310552,8.3,0,0,145827,5,36,10,0.84,2485,5.24,1
93358551,11,175363810,4.4,0,0,128215,11,4,30,0.88,3617,3.63,1
116190146,7,165322520,9.26,1,1,192312,4,5,46,0.86,2190,4.42,1
93409749,8,31739356,5.7,0,0,121570,13,37,23,0.48,1636,3.56,1
144199233,14,155689489,8.39,1,1,184506,11,8,32,0.79,2564,2.92,1
153171095,14,163794431,3.86,1,0,89724,3,28,17,0.78,4955,3.8,0
90652971,14,247785965,5.38,0,1,135359,1,31,17,0.36,1507,3.27,0
9521373,14,219310033,7.4,0,1,95697,6,9,14,0.76,3014,3.49,0
111683173,6,216646977,3.47,1,0,48732,18,29,9,0.13,4026,4.42,0
8344769,13,28877237,3.43,1,0,141465,24,14,40,0.58,1747,2.9,1
111328085,12,56918818,9.29,0,0,162386,10,22,2,0.28,4402,0.7,0
35349564,9,125797711,7.5,0,0,175026,5,11,45,0.2,1935,1.32,0
104052376,14,167922984,2.79,0,1,77108,23,23,25,0.16,1071,2.69,1
182077808,11,228722275,5.29,0,0,131195,10,1,39,0.66,2882,4.12,1
111406362,9,115996448,5.53,0,0,123081,12,37,9,0.37,1745,3.47,1
111777086,3,87633091,7.71,1,1,56668,2,21,22,0.68,2584,3.75,0
67250665,3,223670688,4.26,1,0,43061,13,26,43,0.15,777,2.9,0
186009883,11,65403796,3.79,1,0,99252,8,36,46,0.35,2387,3.58,1
160716283,13,241166767,3.07,1,0,59749,2,23,4,0.53,1765,2.15,1
199438926,11,241794167,5.5,0,0,150560,20,1,26,0.73,1540,2.85,1
84757501,6,115797503,7.32,0,0,124680,1,15,29,0.36,1417,4.22,0
125716221,11,167725830,2.91,0,1,167979,5,21,45,0.6,1385,4.86,1
156079598,5,153623362,8.91,1,0,169849,9,9,34,0.81,3252,2.67,1
57286002,9,150071312,5.6,1,0,71745,17,9,23,0.59,521,0.72,1
37049003,8,34947744,4.18,0,0,128464,9,10,37,0.29,3691,1.31,0
66136438,10,192708911,3.16,0,0,111865,11,26,11,0.12,2853,0.6,0
133482111,13,143894603,3.78,1,0,132428,15,35,6,0.8,1186,3.77,1
130683192,11,47856186,9.04,1,1,43624,24,25,18,0.12,784,2.16,1
198466162,7,247150066,6.97,0,0,43321,6,26,21,0.8,4247,3.21,1
60831368,3,58673237,6.12,0,1,161560,23,11,42,0.52,1262,2.97,1
15959014,5,75293686,7.1,1,1,42574,3,38,36,0.85,2928,0.91,0
61972561,12,11983509,5.55,0,0,156312,17,2,41,0.74,3007,2.52,1
53900483,14,127556893,7.61,0,0,194293,5,7,38,0.9,528,1.6,1
25193880,10,162516645,2.83,0,0,161550,12,18,34,0.38,1406,2.59,0
125826171,13,187780965,6.46,1,0,170334,18,27,17,0.71,3604,1.52,1
8385357,8,87729132,3.61,1,1,138831,14,34,37,0.42,4499,4.7,0
49738553,10,221493426,3.34,1,0,155504,21,27,25,0.48,3494,1.37,0
